default|education|contact|marital|poutcome|housing|loan|month|job|balance|day_of_week|campaign|age|pdays|previous|duration|y
no|tertiary|unknown|married|unknown|yes|no|may|management|2143|5|1|58|-1|0|261|no
no|secondary|unknown|single|unknown|yes|no|may|technician|29|5|1|44|-1|0|151|no
no|secondary|unknown|married|unknown|yes|yes|may|entrepreneur|2|5|1|33|-1|0|76|no
no|unknown|unknown|married|unknown|yes|no|may|blue-collar|1506|5|1|47|-1|0|92|no
no|unknown|unknown|single|unknown|no|no|may|blue-collar|1|5|1|33|-1|0|198|no
no|tertiary|unknown|married|unknown|yes|no|may|management|231|5|1|35|-1|0|139|no
no|tertiary|unknown|single|unknown|yes|yes|may|management|447|5|1|28|-1|0|217|no
yes|tertiary|unknown|divorced|unknown|yes|no|may|entrepreneur|2|5|1|42|-1|0|380|no
no|primary|unknown|married|unknown|yes|no|may|retired|121|5|1|58|-1|0|50|no
no|secondary|unknown|single|unknown|yes|no|may|technician|593|5|1|43|-1|0|55|no
no|secondary|unknown|divorced|unknown|yes|no|may|admin.|270|5|1|41|-1|0|222|no
no|secondary|unknown|single|unknown|yes|no|may|admin.|390|5|1|29|-1|0|137|no
no|secondary|unknown|married|unknown|yes|no|may|technician|6|5|1|53|-1|0|517|no
no|unknown|unknown|married|unknown|yes|no|may|technician|71|5|1|58|-1|0|71|no
no|secondary|unknown|married|unknown|yes|no|may|services|162|5|1|57|-1|0|174|no
no|primary|unknown|married|unknown|yes|no|may|retired|229|5|1|51|-1|0|353|no
no|unknown|unknown|single|unknown|yes|no|may|admin.|13|5|1|45|-1|0|98|no
no|primary|unknown|married|unknown|yes|no|may|blue-collar|52|5|1|57|-1|0|38|no
no|primary|unknown|married|unknown|yes|no|may|retired|60|5|1|60|-1|0|219|no
no|secondary|unknown|married|unknown|yes|no|may|services|0|5|1|33|-1|0|54|no
no|secondary|unknown|married|unknown|yes|yes|may|blue-collar|723|5|1|28|-1|0|262|no
no|tertiary|unknown|married|unknown|yes|no|may|management|779|5|1|56|-1|0|164|no
no|primary|unknown|single|unknown|yes|yes|may|blue-collar|23|5|1|32|-1|0|160|no
no|secondary|unknown|married|unknown|yes|no|may|services|50|5|1|25|-1|0|342|no
no|primary|unknown|married|unknown|yes|yes|may|retired|0|5|1|40|-1|0|181|no
no|secondary|unknown|married|unknown|yes|no|may|admin.|-372|5|1|44|-1|0|172|no
no|tertiary|unknown|single|unknown|yes|no|may|management|255|5|1|39|-1|0|296|no
no|secondary|unknown|married|unknown|yes|yes|may|entrepreneur|113|5|1|52|-1|0|127|no
no|secondary|unknown|single|unknown|yes|no|may|management|-246|5|2|46|-1|0|255|no
no|secondary|unknown|single|unknown|yes|yes|may|technician|265|5|1|36|-1|0|348|no
no|secondary|unknown|married|unknown|no|yes|may|technician|839|5|1|57|-1|0|225|no
no|tertiary|unknown|married|unknown|yes|no|may|management|378|5|1|49|-1|0|230|no
no|secondary|unknown|married|unknown|yes|yes|may|admin.|39|5|1|60|-1|0|208|no
no|secondary|unknown|married|unknown|yes|no|may|blue-collar|0|5|1|59|-1|0|226|no
no|tertiary|unknown|married|unknown|yes|no|may|management|10635|5|1|51|-1|0|336|no
no|secondary|unknown|divorced|unknown|yes|no|may|technician|63|5|1|57|-1|0|242|no
no|secondary|unknown|married|unknown|yes|no|may|blue-collar|-7|5|1|25|-1|0|365|no
no|secondary|unknown|married|unknown|no|no|may|technician|-3|5|1|53|-1|0|1666|no
no|secondary|unknown|divorced|unknown|yes|no|may|admin.|506|5|1|36|-1|0|577|no
no|secondary|unknown|single|unknown|yes|no|may|admin.|0|5|1|37|-1|0|137|no
no|secondary|unknown|divorced|unknown|yes|no|may|services|2586|5|1|44|-1|0|160|no
no|secondary|unknown|married|unknown|yes|no|may|management|49|5|2|50|-1|0|180|no
no|unknown|unknown|married|unknown|yes|no|may|blue-collar|104|5|1|60|-1|0|22|no
no|secondary|unknown|married|unknown|yes|no|may|retired|529|5|1|54|-1|0|1492|no
no|unknown|unknown|married|unknown|yes|no|may|retired|96|5|1|58|-1|0|616|no
no|primary|unknown|single|unknown|yes|no|may|admin.|-171|5|1|36|-1|0|242|no
no|tertiary|unknown|married|unknown|yes|no|may|self-employed|-364|5|1|58|-1|0|355|no
no|secondary|unknown|married|unknown|yes|no|may|technician|0|5|2|44|-1|0|225|no
no|secondary|unknown|divorced|unknown|no|no|may|technician|0|5|1|55|-1|0|160|no
no|tertiary|unknown|single|unknown|yes|no|may|management|0|5|1|29|-1|0|363|no
no|secondary|unknown|married|unknown|yes|no|may|blue-collar|1291|5|1|54|-1|0|266|no
no|tertiary|unknown|divorced|unknown|yes|no|may|management|-244|5|1|48|-1|0|253|no
no|tertiary|unknown|married|unknown|yes|no|may|management|0|5|1|32|-1|0|179|no
no|secondary|unknown|single|unknown|yes|no|may|admin.|-76|5|1|42|-1|0|787|no
